sqlite webui,coleifer,sqlite-web,https://github.com/coleifer/sqlite-web
text ocr,JaidedAI,EasyOCR,https://github.com/JaidedAI/EasyOCR
pdf ocr,ocrmypdf,OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF
pdf to text,jalan,pdftotext,https://github.com/jalan/pdftotext
table search/sort,javve,List.js,https://github.com/javve/list.js
bootstrap,twbs,bootstrap,https://github.com/twbs/bootstrap
bootstrap icons,twbs,bootstrap-icons,https://github.com/twbs/icons
job status icons,sonnycandra,User interface Pack,https://www.flaticon.com/de/packs/user-interface-1753
file search,Sygil-Dev,Whoosh-Reloaded,https://github.com/Sygil-Dev/whoosh-reloaded
code highlighting,highlightjs,highlight.js,https://github.com/highlightjs/highlight.js
text marking,julkue,mark.js,https://github.com/julkue/mark.js
